school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
4870,Capay Joint Union Elementary School,26,0.9667,0.9493,0.9715,0.9615,0.9611,0.9683,0.9708,0.9706,0.9679,0.913,0.9479,0.9573,0.9608,0.9604,0.9568,0.945,0.9718,0.9772,0.9791,0.9789,0.9769,0,1,1,1,1,1,0.0322,H
4876,Elk Creek Elementary School,13,0.9464,0.9258,0.9575,0.9231,0.9413,0.9518,0.9557,0.9552,0.9513,0.8796,0.9224,0.9362,0.9411,0.9405,0.9354,0.9248,0.9567,0.9647,0.9675,0.9672,0.9642,0,1,1,1,1,1,0.8035,M
4893,Hamilton Elementary School,49,0.949,0.8008,0.9902,0.9592,0.9363,0.9477,0.9519,0.9515,0.9472,0.7139,0.7876,0.8203,0.8325,0.8309,0.8181,0.9727,0.9922,0.9939,0.9944,0.9943,0.9938,0,1,1,1,1,1,0.6198,M
4905,Lake Elementary School,20,0.9093,0.8449,0.9246,0.95,0.8828,0.9024,0.9099,0.9091,0.9014,0.7707,0.8354,0.8616,0.8717,0.8707,0.8603,0.8777,0.9211,0.9349,0.9401,0.9395,0.9342,0,1,1,1,1,1,0.9995,M
4907,Lake View Charter,117,0.5647,0.5653,0.6721,0.1709,0.5982,0.6462,0.6659,0.6635,0.6433,0.4493,0.5416,0.5914,0.6124,0.6102,0.5888,0.5619,0.6518,0.6969,0.7153,0.7133,0.6945,0,1,1,1,1,1,1,L
4910,Mill Street Elementary School,199,0.9562,0.9014,0.9704,0.9899,0.9393,0.9502,0.9542,0.9537,0.9496,0.8457,0.8962,0.9139,0.9204,0.9196,0.9127,0.9436,0.9708,0.9763,0.9783,0.978,0.976,0,1,1,1,1,1,0.6975,H
4913,Murdock Elementary School,112,0.9638,0.9425,0.9627,0.9821,0.952,0.9607,0.9639,0.9635,0.9602,0.9031,0.9404,0.9511,0.9549,0.9545,0.9504,0.9321,0.9623,0.9693,0.9718,0.9715,0.9689,0,1,1,1,1,1,0.2838,H
4914,North Valley Christian Schools,12,0.9523,0.9312,0.9693,0.9167,0.9512,0.9601,0.9633,0.9629,0.9596,0.8869,0.9282,0.9409,0.9456,0.945,0.9402,0.9418,0.9694,0.9752,0.9773,0.977,0.9749,0,1,1,1,1,1,0.4015,H
4923,Plaza Elementary School,22,0.955,0.9246,0.9658,0.9545,0.946,0.9558,0.9593,0.9589,0.9552,0.8779,0.9209,0.9349,0.94,0.9395,0.9341,0.9369,0.9656,0.9721,0.9744,0.9741,0.9717,0,1,1,1,1,1,0.5965,H
4926,princeton primary,,0.8797,0.8069,0.9308,0.8163,0.8726,0.8939,0.9019,0.901,0.8927,0.7221,0.7945,0.8258,0.838,0.8365,0.824,0.886,0.9277,0.9406,0.9454,0.9448,0.9399,1,1,1,1,1,1,0.9985,L
4942,Walden Academy,32,0.9369,0.9023,0.9493,0.9375,0.9245,0.9378,0.9426,0.9421,0.937,0.8474,0.8971,0.9146,0.9212,0.9204,0.9136,0.9129,0.9478,0.9573,0.9607,0.9603,0.9567,0,1,1,1,1,1,0.979,M
