school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
6632,big valley primary,,0.9896,0.9426,0.9966,0.9718,0.9916,0.9933,0.9939,0.9938,0.9933,0.9028,0.9404,0.9511,0.955,0.9545,0.9505,0.9823,0.9991,0.9995,0.9996,0.9996,0.9995,1,1,1,1,1,1,0.0398,H
6645,Fletcher Walker Elementary School,20,0.9882,0.9681,0.9968,0.95,0.9947,0.9959,0.9963,0.9963,0.9959,0.9401,0.9682,0.9741,0.9763,0.976,0.9739,0.9826,0.9994,0.9997,0.9997,0.9997,0.9997,0,1,1,1,1,1,0.004,H
6660,Janesville Elementary School,38,0.5362,0.2505,0.6156,0.9474,0.4066,0.4567,0.4782,0.4754,0.453,0.1728,0.23,0.2677,0.2854,0.2834,0.2656,0.5012,0.5931,0.6415,0.6614,0.6591,0.6385,0,1,1,1,1,1,1,L
6661,Johnstonville Elementary School,31,0.9678,0.8813,0.9947,0.9355,0.9688,0.9747,0.9768,0.9765,0.9744,0.8178,0.8743,0.8954,0.9034,0.9025,0.8942,0.9794,0.9971,0.9979,0.998,0.998,0.9978,0,1,1,1,1,1,0.283,H
6678,long valley elementary,,0.9461,0.9177,0.9678,0.9083,0.9444,0.9544,0.958,0.9576,0.9538,0.868,0.9135,0.9287,0.9343,0.9336,0.9279,0.9399,0.9678,0.9739,0.9761,0.9758,0.9736,1,1,1,1,1,1,0.6185,M
6679,Long Valley Charter School,22,0.9861,0.9826,0.9937,0.9545,0.9906,0.9925,0.9932,0.9931,0.9925,0.9613,0.984,0.9871,0.9882,0.9881,0.987,0.9779,0.996,0.997,0.9972,0.9972,0.9969,0,1,1,1,1,1,0,H
6680,McKinley Elementary School,158,0.9906,0.987,0.9968,0.9557,0.9968,0.9977,0.9979,0.9978,0.9976,0.9679,0.9887,0.991,0.9918,0.9917,0.991,0.9826,0.9994,0.9997,0.9998,0.9998,0.9997,0,1,1,1,1,1,0,H
6683,Mt. Lassen Charter School,11,0.9237,0.9496,0.994,0.6364,0.9771,0.9815,0.983,0.9828,0.9812,0.9135,0.9481,0.9575,0.9609,0.9605,0.9569,0.9783,0.9964,0.9973,0.9975,0.9975,0.9973,0,1,1,1,1,1,0.0262,M
6684,new day academy,22,0.8819,0.985,0.9956,0.3182,0.9933,0.9947,0.9952,0.9951,0.9947,0.9649,0.9865,0.9892,0.9901,0.99,0.9891,0.9808,0.998,0.9986,0.9988,0.9988,0.9986,0,1,1,1,1,1,0,L
6693,Richmond Elementary School,21,0.9802,0.9062,0.9962,0.9524,0.9826,0.986,0.9872,0.9871,0.9859,0.8532,0.9015,0.9182,0.9244,0.9236,0.917,0.9817,0.9987,0.9992,0.9993,0.9993,0.9992,0,1,1,1,1,1,0.1472,H
6696,Shaffer Elementary School,29,0.9926,0.9893,0.9969,0.9655,0.9973,0.9981,0.9982,0.9982,0.998,0.9715,0.9913,0.9931,0.9937,0.9936,0.993,0.9827,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,H
6697,Sierra Primary School,23,0.9721,0.9784,0.9959,0.8696,0.9909,0.9928,0.9934,0.9933,0.9927,0.9552,0.9793,0.9834,0.9847,0.9846,0.9832,0.9811,0.9983,0.9989,0.999,0.999,0.9989,0,1,1,1,1,1,0,H
