school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
6501,Burns Valley School,68,0.978,0.9577,0.9815,0.9853,0.9716,0.9769,0.9788,0.9786,0.9766,0.9249,0.9569,0.9649,0.9677,0.9674,0.9644,0.9598,0.9828,0.9862,0.9873,0.9872,0.986,0,1,1,1,1,1,0.0015,H
6512,Cobb Mountain Elementary School,24,0.8967,0.7921,0.9396,0.9167,0.8731,0.8942,0.9022,0.9013,0.893,0.7029,0.7784,0.8118,0.8249,0.8235,0.8102,0.8992,0.9374,0.9485,0.9526,0.9522,0.9479,0,1,1,1,1,1,0.9905,L
6514,Coyote Valley Elementary School,93,0.9277,0.8665,0.962,0.9032,0.9194,0.9335,0.9388,0.9382,0.9328,0.7988,0.8585,0.8816,0.8905,0.8895,0.8803,0.9314,0.9616,0.9687,0.9713,0.971,0.9684,0,1,1,1,1,1,0.8988,M
6515,East Lake Elementary School,,0.9658,0.9454,0.9813,0.9368,0.9657,0.9721,0.9744,0.9742,0.9718,0.9074,0.9436,0.9538,0.9574,0.957,0.9532,0.9594,0.9825,0.986,0.9871,0.987,0.9858,1,1,1,1,1,1,0.0612,H
6539,Kelseyville Elementary School,111,0.9626,0.9157,0.9734,0.991,0.9482,0.9576,0.961,0.9606,0.9571,0.8654,0.9115,0.9269,0.9326,0.9319,0.926,0.9478,0.9739,0.9789,0.9806,0.9804,0.9786,0,1,1,1,1,1,0.511,H
6551,Konocti Christian Academy,31,0.953,0.8454,0.993,0.9355,0.9477,0.9572,0.9606,0.9602,0.9566,0.7704,0.8356,0.8622,0.8721,0.8709,0.8604,0.9768,0.9952,0.9963,0.9966,0.9966,0.9963,0,1,1,1,1,1,0.5075,H
6562,Lower Lake Elementary School,106,0.9521,0.9019,0.9616,0.9906,0.9334,0.9453,0.9496,0.9492,0.9446,0.8467,0.8966,0.9142,0.9208,0.92,0.9133,0.9306,0.9612,0.9684,0.971,0.9707,0.968,0,1,1,1,1,1,0.841,H
6567,Lake County International Charter School,11,0.8775,0.9922,0.9969,0.2727,0.9979,0.9985,0.9987,0.9987,0.9985,0.9755,0.9943,0.9956,0.996,0.9959,0.9956,0.9826,0.9994,0.9998,0.9998,0.9998,0.9998,0,1,1,1,1,1,0,L
6571,Lakeport Elementary School,129,0.8846,0.6439,0.9585,0.9612,0.8459,0.8709,0.8805,0.8796,0.8697,0.531,0.6219,0.6692,0.6883,0.6861,0.6664,0.9264,0.958,0.9655,0.9682,0.9678,0.9649,0,1,1,1,1,1,0.958,L
6584,Lucerne Elementary School,46,0.6929,0.5187,0.7096,0.9565,0.5949,0.643,0.6627,0.6604,0.64,0.4027,0.4934,0.5444,0.5658,0.563,0.5408,0.6047,0.6914,0.7331,0.7497,0.7477,0.7304,0,1,1,1,1,1,1,L
6596,Minnie Cannon Elementary School,27,0.9723,0.9518,0.9923,0.9259,0.9776,0.982,0.9834,0.9833,0.9817,0.9165,0.9506,0.9595,0.9627,0.9623,0.9589,0.9757,0.9945,0.9958,0.9961,0.9961,0.9957,0,1,1,1,1,1,0.019,H
6604,Pomo School,132,0.9324,0.8735,0.9414,0.9924,0.9051,0.9215,0.9276,0.927,0.9206,0.8074,0.8658,0.8879,0.8961,0.8953,0.8865,0.9017,0.9391,0.9501,0.9541,0.9537,0.9496,0,1,1,1,1,1,0.996,M
6608,Riviera Elementary School,46,0.9209,0.8299,0.952,0.9565,0.8974,0.9149,0.9216,0.9209,0.914,0.7507,0.8191,0.8475,0.8585,0.8573,0.846,0.9171,0.951,0.9598,0.963,0.9626,0.9592,0,1,1,1,1,1,0.9648,M
6619,Upper Lake Elementary School,80,0.8747,0.7674,0.8974,0.975,0.8294,0.8565,0.8669,0.8657,0.8549,0.6724,0.7525,0.7887,0.8032,0.8013,0.7866,0.8403,0.8916,0.9102,0.917,0.9162,0.909,0,1,1,1,1,1,1,L
